symbol,start_date,end_date,total_days
360ONE,2019-09-19,2025-12-26,1553
3MINDIA,2002-07-01,2025-12-26,5833
AADHARHFC,2024-05-15,2025-12-26,404
AARTIIND,2002-07-01,2025-12-26,5836
AAVAS,2018-10-08,2025-12-26,1784
ABB,2002-07-01,2025-12-26,5836
ABBOTINDIA,2002-08-12,2025-12-26,5806
ABCAPITAL,2017-09-01,2025-12-26,2057
ABFRL,2013-07-17,2025-12-26,3070
ABLBL,2025-06-23,2025-12-26,128
ABREL,1996-01-01,2025-12-26,7528
ABSLAMC,2021-10-11,2025-12-26,1043
ACC,2002-07-01,2025-12-26,5833
ACE,2006-09-26,2025-12-26,4749
ACMESOLAR,2024-11-13,2025-12-26,279
ADANIENSOL,2023-08-16,2025-12-26,580
ADANIENT,2002-07-01,2025-12-26,5835
ADANIGREEN,2018-06-18,2025-12-26,1860
ADANIPORTS,2007-11-27,2025-12-26,4459
ADANIPOWER,2009-08-20,2025-12-26,4036
AEGISLOG,2024-05-30,2025-12-26,390
AEGISVOPAK,2025-06-02,2025-12-26,145
AFCONS,2024-11-04,2025-12-26,286
AFFLE,2019-08-08,2025-12-26,1580
AGARWALEYE,2025-02-04,2025-12-26,222
AIAENG,2005-12-14,2025-12-26,4944
AIIL,2024-04-23,2025-12-26,415
AJANTPHARM,2002-07-01,2025-12-26,5832
AKUMS,2024-08-06,2025-12-26,343
AKZOINDIA,2002-07-01,2025-12-26,5832
ALKEM,2015-12-23,2025-12-26,2474
ALKYLAMINE,2007-11-26,2025-12-26,4459
ALOKINDS,1996-01-02,2025-12-26,7527
AMBER,2018-01-30,2025-12-26,1954
AMBUJACEM,2002-07-01,2025-12-26,5834
ANANDRATHI,2021-12-14,2025-12-26,1000
ANANTRAJ,2006-09-27,2025-12-26,4748
ANGELONE,2020-10-05,2025-12-26,1296
APARINDS,2004-07-12,2025-12-26,5305
APLAPOLLO,2011-12-14,2025-12-26,3464
APLLTD,2011-09-20,2025-12-26,3519
APOLLOHOSP,2002-07-01,2025-12-26,5833
APOLLOTYRE,2002-01-01,2025-12-26,5965
APTUS,2021-08-24,2025-12-26,1076
ARE&M,2023-10-18,2025-12-26,537
ASAHIINDIA,2002-07-01,2025-12-26,5838
ASHOKLEY,2002-07-01,2025-12-26,5835
ASIANPAINT,2002-07-01,2025-12-26,5833
ASTERDM,2018-02-26,2025-12-26,1936
ASTRAL,2007-03-20,2025-12-26,4632
ASTRAZEN,2002-07-01,2025-12-26,5835
ATGL,2018-11-05,2025-12-26,1766
ATHERENERG,2025-05-06,2025-12-26,164
ATUL,2002-07-01,2025-12-26,5833
AUBANK,2017-07-11,2025-12-26,2093
AUROPHARMA,1996-01-15,2025-12-26,7519
AWL,2022-02-08,2025-12-26,961
AXISBANK,1998-11-27,2025-12-26,6769
BAJAJ-AUTO,2002-07-01,2025-12-26,5836
BAJAJFINSV,2002-08-12,2025-12-26,5802
BAJAJHFL,2024-09-16,2025-12-26,320
BAJAJHLDNG,2002-08-12,2025-12-26,5802
BAJFINANCE,2002-07-01,2025-12-26,5833
BALKRISIND,2006-01-27,2025-12-26,4914
BALRAMCHIN,2002-07-01,2025-12-26,5836
BANDHANBNK,2018-03-27,2025-12-26,1916
BANKBARODA,2002-07-01,2025-12-26,5833
BANKINDIA,2002-07-01,2025-12-26,5833
BASF,2002-07-01,2025-12-26,5833
BATAINDIA,2002-07-01,2025-12-26,5833
BAYERCROP,2010-01-08,2025-12-26,3944
BBTC,2002-07-01,2025-12-26,5834
BDL,2018-03-23,2025-12-26,1918
BEL,2002-07-01,2025-12-26,5833
BEML,2002-07-01,2025-12-26,5833
BERGEPAINT,2002-07-01,2025-12-26,5835
BHARATFORG,1996-01-01,2025-12-26,7528
BHARTIARTL,2002-07-01,2025-12-26,5833
BHARTIHEXA,2024-04-12,2025-12-26,424
BHEL,1996-01-01,2025-12-26,7528
BIKAJI,2022-11-16,2025-12-26,771
BIOCON,2004-04-07,2025-12-26,5372
BLS,2016-06-15,2025-12-26,2357
BLUEDART,2002-07-01,2025-12-26,5832
BLUEJET,2023-11-01,2025-12-26,533
BLUESTARCO,2002-07-01,2025-12-26,5832
BOSCHLTD,2002-07-01,2025-12-26,5834
BPCL,1996-01-02,2025-12-26,7527
BRIGADE,2007-12-31,2025-12-26,4437
